# Unfamiliar words — words you need to practice
# Format: word	TAB	meaning
# This file is generated by the init-wordlist skill.
abandon	v. 遗弃；离开；放弃；终止；陷入n. 放任，狂热
chase	n. 同班同学
chat	n. 教室
cheap	n. 条款；[计] 子句n. (Clause)人名；(法)克洛斯
cheat	n. 爪；螯，钳；爪形器具vi. 用爪抓（或挖）vt. 用爪抓（或挖）
cheek	adj. 清洁的，干净的；清白的vt. 使干净vi. 打扫，清扫adv. 完全地n. 打扫n. (Clean)人名；(英)克林
cheer	adj. 清楚的；清澈的；晴朗的；无罪的vt. 通过；清除；使干净；跳过vi. 放晴；变清澈adv. 清晰地；完全地n. 清除；空隙n. (Clear)人名；(英)克利尔
cheerful	n. 清除；（货物的）清仓甩卖；空隙；准许；（飞机起降的）许可；（支票）过户，结算；（足球比赛中）解围
cheese	adv. 清晰地；明显地；无疑地；明净地
chemical	n. 职员，办事员；店员；书记；记账员；古牧师，教士vi. 当销售员，当店员；当职员n. （英）克拉克（人名）
chemist	adj. 聪明的；机灵的；熟练的[ 比较级cleverer 最高级 cleverest]
chemistry	n. [经] 客户；顾客；委托人
cheque	n. 悬崖；绝壁n. (Cliff)人名；(英)克利夫
cherish	n. 气候；风气；思潮；风土
chess	vi. 坚持，墨守；紧贴；附着
chest	n. 临床；诊所；卫生所，卫生室；医务室n.夹子,回形针,子弹夹vt.夹住,剪短,修剪n.斗蓬,宽大外衣,掩护vt.用外衣遮蔽,披斗篷
chew	n. 时钟；计时器vt. 记录；记时vi. 打卡；记录时间n. (Clock)人名；(英)克洛克
chicken	adv. 顺时针方向地adj. 顺时针方向的v.关,关闭,结束,停止,使靠近,靠拢,会合,包围n.结束adj.近的,紧密的,精密的,齐根的,封闭的,亲密的,闷气的adv.接近,紧密地866868872876
chief	adv. 紧密地；接近地；严密地；亲近地
child	n. 壁橱；议事室，密室；小房间adj. 秘密的，私下的；空谈的vt.把…关在私室中n. (Closet)人名；(法)克洛塞
childhood	n. 布；织物；桌布adj. 布制的n. (Cloth)人名；(德)克洛特
childish	vt. 给…穿衣；覆盖；赋予
chill	n. 衣服
chimney	n. （总称）[服装] 服装；帆装v. 覆盖（clothe的ing形式）；给…穿衣
chin	n. 云；阴云；云状物；一大群；黑斑vt. 使混乱；以云遮蔽；使忧郁；玷污vi. 阴沉；乌云密布n. （Cloud） 克劳德（人名）
China	adj. 多云的；阴天的；愁容满面的
china	n. 俱乐部，社团；夜总会；棍棒；（扑克牌中的）梅花vt. 用棍棒打；募集vi. 集资；组成俱乐部adj. 俱乐部的n. (Club) (巴、印、阿)克拉布（人名）
Chinese	n. 线索；（故事等的）情节vt. 为…提供线索；为…提供情况
chip	adj. 笨拙的笨拙地不得当的不得当地
chocolate	n. 群；簇；丛；串vi. 群聚；丛生vt. 使聚集；聚集在某人的周围n.(Cluster)人名；(英)克拉斯特
choice	v. 紧握；（因害怕或痛苦）突然抓住；突然感到恐惧n. 离合器（踏板）；一群；控制；紧握；一窝蛋；女式无带手提包adj. 紧要关头的
choke	n. 教练；旅客车厢；长途公车；四轮大马车vt. 训练；指导vi. 作指导；接受辅导；坐马车旅行n.  蔻驰（皮革品牌）
choose	n. 煤；（尤指燃烧着的）煤块；木炭v. 供煤；采煤，提炼煤；把……烧成炭；加煤
chop	adj. 粗糙的；粗俗的；下等的
chord	n. 海岸；滑行v. 滑行；（交通工具）快速平稳地移动；得过且过，做事不费力；沿岸航行v. (Coast) （英、美）科斯特（人名）
chorus	n. 外套vt. 覆盖…的表面n. (Coat)人名；(法)科阿
Christian	n. 公鸡；龙头；雄鸟；头目vt. 使竖起；使耸立；使朝上vi. 翘起；竖起；大摇大摆n. (Cock)人名；(英、西、瑞典)科克
Christmas	n. 代码，密码；编码；法典vt. 编码；制成法典vi. 指定遗传密码n.(Code)人名；(英、法、西)科德
chronic	n. 咖啡；咖啡豆；咖啡色n. (Coffee)人名；(英)科菲
church	adj. 连贯的，一致的；明了的；清晰的；凝聚性的；互相耦合的；粘在一起的；共格的v.盘绕,卷n.硬币vt.铸造(硬币)
cigarette	vi. 一致，符合；同时发生vi. (在性格、品质等方面)完全一致，相符
cinema	n. 巧合；一致；同时发生
circle	adj. 寒冷的；冷淡的，不热情的；失去知觉的n. 寒冷；感冒adv. 完全地
circuit	n. 合作；勾结；通敌n.倒塌,崩溃,失败,虚脱vi.倒塌,崩溃,瓦解,失败,病倒
circular	n. 衣领；颈圈vt. 抓住；给…上领子；给…套上颈圈n. (Collar)人名；(法)科拉尔；(西)科利亚尔；(英)科勒
circulate	n. 同事，同僚
circulation	vt. 收集；募捐vi. 收集；聚集；募捐adv. 由收件人付款地adj. 由收件人付款的n. (Collect)人名；(英)科莱克特
circumference	n. 采集，聚集；[税收] 征收；收藏品；募捐898903
circumstance	adj. 集体的；共同的；集合的；集体主义的n. 集团；集合体；集合名词
circus	n. 大学；学院；学会
cite	vi. 碰撞；抵触，冲突vt. 使碰撞；使相撞
citizen	n. 碰撞；冲突；（意见，看法）的抵触；（政党等的）倾轧
city	n. 陆军上校n. (Colonel)人名；(法、罗)科洛内尔
civil	adj. 殖民的，殖民地的；（建筑，家具）殖民地时期式样的；（动物，植物）群体的；受英国殖民统治时期的n. 殖民地居民；殖民地时期式样的房屋
civilian	n. 殖民地；移民队；种群；动物栖息地
civilization	n. 颜色；肤色；颜料；脸色vt. 粉饰；给...涂颜色；歪曲vi. 变色；获得颜色
civilize	n. 纵队，列；专栏；圆柱，柱形物
claim	n. 梳子；蜂巢；鸡冠vt. 梳头发；梳毛vi. （浪）涌起
clamp	n. 战斗；搏斗；争论，反对v. 与……战斗；防止，抑制（尤用于新闻报道）adj. 战斗的；为……斗争的n. (Combat) （法）孔巴（人名）
clap	n. 结合；组合；联合；[化学] 化合
clarify	vt. 使化合；使联合，使结合vi. 联合，结合；化合n. 联合收割机；联合企业
clarity	vi. 来；开始；出现；发生；变成；到达vt. 做；假装；将满（…岁）int. 嗨！n. (Come)人名；(英)科姆；(阿尔巴)乔梅
clash	n. 喜剧；喜剧性；有趣的事情
clasp	n. [天] 彗星n. (Comet)人名；(法)科梅
class	n. 安慰；舒适；安慰者vt. 安慰；使（痛苦等）缓和
classic	adj. 舒适的，舒服的n. 盖被n.命令,掌握,司令部v.命令,指挥,克制,支配,博得,俯临
classical	n. 指挥官，长官；海军中校；英国高级警官
classification	vt. 庆祝，纪念；成为…的纪念
classify	v. 开始；着手；英获得学位
classmate	vt. 推荐；称赞；把…委托vi. 称赞；表扬n.注释,评论,意见vi.注释,评论
classroom	n. 评论；注释；评注；说明
clause	n. 贸易；商业；商务
claw	adj. 商业的；营利的；靠广告收入的n. 商业广告
clay	n. 委员会；佣金；服务费；犯；委任；委任状vt. 委任；使服役；委托制作
clean	vt. 犯罪；把...交托给；指派…作战；使…承担义务；（公开地）表示意见vi. 忠于（某个人、机构等）；承诺
clearance	n. 委员会
clearly	n. 商品，货物；日用品
clerk	adj. 共同的；普通的；一般的；通常的n. 普通；平民；公有地n.（Common）（法）科蒙，（英）康芒（人名）
clever	adv. 一般地；通常地；普通地
client	n. 司空见惯的事，普通的东西；老生常谈adj. 平凡的，普通的；平庸的，陈腐的
cliff	n. 联邦；共和国；国民整体
climate	vi. 通讯，传达；相通；交流；感染vt. 传达；感染；显露
climax	n. 通讯，[通信] 通信；交流；信函
climb	n. 共产主义935
cling	n. 共产党员；共产主义者adj. 共产主义的
clinic	n. 社区；[生态] 群落；共同体；团体
clip	vi. （搭乘车、船等）通勤；代偿vt. 减刑；交换；用……交换；使……变成n. 通勤（口语）
cloak	adj. 袖珍的；紧凑的；坚实的；矮小而健壮的；简洁的n. 小汽车；带镜小粉盒；契约v. 把……压实；使简洁；使紧密，压缩；订立（协定）
clock	n. 同伴；朋友；指南；手册vt. 陪伴n. (Companion)人名；(英)康帕宁
clockwise	n. 公司；陪伴，同伴；连队vi. 古交往vt. 古陪伴n. （Company）（美、瑞）孔帕尼（人名）
closely	adj. 比较的；相当的n. 比较级；对手
closet	v. 比较，对比；与……类似，将……比作；相比，匹敌；构成（形容词或副词）的比较级和最高级n. 比较
cloth	n. 比较；对照；比喻；比较关系
clothe	n. [建] 隔间；区划；卧车上的小客房vt. 分隔；划分
clothes	n. 指南针，罗盘；圆规vt. 包围
clothing	adj. 兼容的；能共处的；可并立的
cloudy	vi. 补偿，赔偿；抵消vt. 补偿，赔偿；付报酬
clue	n. 能力，胜任；权限；作证能力；足以过舒适生活的收入
clumsy	adj. 胜任的；有能力的；能干的；足够的
cluster	n. 竞争；比赛，竞赛
coach	vt. 编译；编制；编辑；[图情] 汇编
coal	vi. 投诉；发牢骚；诉说vt. 抱怨；控诉
coarse	n. 抱怨；诉苦；疾病；委屈/ˈkɑːmplɪment; ˈkɑːmplɪm n. 补语；余角；补足物vt. 补足，补助
coat	adv. 完全地，彻底地；完整地/kəmˈpleks,ˈkɑːmpleks/  adj. 复杂的；合成的n. 复合体；综合设施
cock	vt. 使复杂化；使恶化；使卷入
code	adj. 难懂的，复杂的
coffee	n. 并发症；复杂；复杂化；混乱
coherent	n. 恭维；称赞；问候；致意；道贺vt. 恭维；称赞
coil	vi. 遵守；顺从，遵从；答应
coin	n. 组成部分；成分；组件，元件adj. 组成的；构成的
coincide	vt. 构成；写作；使平静；排…的版vi. 组成；作曲；排字adj.合成的,复合的n.合成物
coincidence	n. 作文，作曲，作品；[材] 构成；合成物；成分
cold	n. [化学] 化合物；混合物；复合词；有围栏（或围墙）的场地（内有工厂或其他建筑群）adj. 复合的；混合的v. 合成；混合；恶化，加重；和解，妥协
collaboration	n. 理解；包含968
collapse	adj. 综合的；广泛的；有理解力的n. 综合学校；专业综合测验
collar	vi. 受压缩小vt. 压缩，压紧；精简
colleague	vt. 包含；由…组成973985
collect	n. 妥协，和解；妥协（或折中）方案；达成妥协v. 妥协，折中；违背（原则），达不到（标准）；（因行为不当）使陷入危险，名誉受损
collection	adj. 义务的；必修的；被强制的n. （花样滑冰、竞技体操等的）规定动作
collective	vt. 计算；估算；用计算机计算vi. 计算；估算；推断n. 计算；估计；推断
college	n. 计算机；电脑；电子计算机
collide	n. 同志；伙伴n. (Comrade)人名；(尼日利)科姆拉德
collision	vt. 隐藏；隐瞒
colonel	vt. 承认；退让；给予，容许vi. 让步
colony	vi. 集中；浓缩；全神贯注；聚集vt. 集中；浓缩n. 浓缩，精选；浓缩液
color	n. 浓度；集中；浓缩；专心；集合
column	n. 观念，概念
comb	n. 怀孕；概念；设想；开始
combination	prep. 关于；就…而言v. 涉及；使关心（concern的ing形式）；忧虑996
combine	n. 音乐会；一致；和谐vt. 使协调；协同安排vi. 协调；协力adj.音乐会用的；在音乐会上演出的
come	n. 让步；特许（权）；承认；退位
comedy	adj. 简明的，简洁的
comet	vt. 推断；决定，作结论；结束vi. 推断；断定；决定
comfort	n. 结论；结局；推论
comfortable	adj. 混凝土的；实在的，具体的；有形的vi. 凝结vt. 使凝固；用混凝土修筑n. 具体物；凝结物
command	vt. 谴责；判刑，定罪；声讨
commander	vi. 浓缩；凝结vt. 使浓缩；使压缩
commemorate	n. 条件；情况；环境；身份vt. 决定；使适应；使健康；以…为条件
commence	v. 组织，实施，进行；指挥（音乐）；带领，引导；举止，表现；传导（热或电）n. 行为举止；管理（方式），实施（办法）；引导
commend	n. 导体；售票员；领导者；管理人
comment	vt. 授予；给予vi. 协商n. (Confer)人名；(英)康弗
commentary	n. 会议；讨论；协商；联盟；（正式）讨论会；[工会、工党用语]（每年的）大会vi. 举行或参加（系列）会议
commerce	vt. 承认；坦白；忏悔；供认vi. 承认；坦白；忏悔；供认
commercial	n. 信心；信任；秘密adj. （美）诈骗的；骗得信任的
commission	adj. 自信的；确信的
commit	adj. 机密的；表示信任的；获信任的
commitment	n. 配置；结构；外形vt.限制,禁闭n.界限,边界
committee	vt. 确认；确定；证实；批准；使巩固
commodity	n. 冲突，矛盾；斗争；争执vi. 冲突，抵触；争执；战斗
common	vi. 符合；遵照；适应环境vt. 使遵守；使一致；使顺从adj. 一致的；顺从的
commonly	vt. 面对；遭遇；比较
commonplace	vt. 使混乱；使困惑
commonwealth	n. 混淆，混乱；困惑
communicate	vt. 祝贺；恭喜；庆贺
communication	n. 祝贺；贺辞
communism	n. 国会；代表大会；会议；社交
communist	n. 结合；[语] 连接词；同时发生
community	vt. 连接；联合；关连；链接vi. 连接，连结；联合
commute	n. 连接；关系；人脉；连接件
companion	n. 征服，战胜；战利品n. (Conquest)人名；(英)康奎斯特
company	n. 道德心，良心n. (Conscience)人名；(法)孔西延斯
comparable	adj. 认真的；尽责的；本着良心的；小心谨慎的
comparative	adj. 意识到的；故意的；神志清醒的
compare	n. 意识；知觉；觉悟；感觉
comparison	adj. 连贯的；连续不断的
compartment	n. 一致；舆论；合意vi.同意,赞成,答应n.同意,赞成,允诺
compass	n. 结果；重要性；推论
compatible	adj. 随之发生的，作为结果的；（河流、山谷）顺向的；合乎逻辑的
compel	n. （逻辑）后件，推断；（音乐）答句；分母
compensate	adv. 因此；结果；所以
compete	n. 保存，保持；保护
competence	adj. 保守的n. 保守派，守旧者
competent	vt. 保存；将…做成蜜饯；使守恒n. 果酱；蜜饯
competition	vt. 考虑；认为；考虑到；细想vi. 考虑；认为；细想
competitive	adj. 相当大的；重要的，值得考虑的
compile	adj. 体贴的；体谅的；考虑周到的
complain	n. 考虑；原因；关心；报酬
complaint	vi. 由…组成；在于；符合
complement	adj. 始终如一的，一致的；坚持的
complete	vt. 巩固，使固定；联合vi. 巩固，加强
completely	adj. 显著的；显而易见的
complex	adj. 不变的；恒定的；经常的n. [数] 常数；恒量n. (Constant)人名；(德)康斯坦特
complicate	n. 成分；选民；委托人adj. 构成的；选举的；有任命（或选举）权的；立宪的；有宪法制定（或修改）权的
complicated	n. 宪法；章程；构造；组成；体格
complication	vt. 驱使；强迫；束缚vt.建造,构造,创立
compliment	n. 建设；建筑物；解释；造句
comply	vt. 查阅；商量；向…请教vi. 请教；商议；当顾问
component	n. 顾问；咨询者；会诊医生
compose	vt. 消耗，消费；使…着迷；挥霍vi. 耗尽，毁灭；耗尽生命
composite	n. 消费者；用户，顾客
composition	n. 消费；消耗；肺痨
comprehension	vt. 包含；控制；容纳；牵制（敌军）vi. 含有；自制
comprehensive	n. 集装箱；容器
compress	vt. 污染，弄脏
comprise	vt. 沉思；注视；思忖；预期vi. 冥思苦想；深思熟虑
compulsory	n. 轻视，蔑视；耻辱
compute	vi. 竞争；奋斗；斗争；争论vt. 主张；为...斗争
computer	n. 内容，目录；满足；容量adj. 满意的vt. 使满意n. （Content）（法）孔唐（人名）n.论争,竞赛v.,争论,争辩,竞赛,争夺
comrade	n. 环境；上下文；来龙去脉
conceal	n. 大陆，洲，陆地adj. 自制的，克制的
concede	adj. 持续不断的；频繁的
conceive	vi. 继续，延续；仍旧，连续vt. 继续说…；使…继续；使…延长
concentrate	adj. 连续的，持续的；继续的；连绵不断的
concentration	n. 合同，契约；婚约；（非正式）暗杀协议；（桥牌）定约v. 收缩，缩短；感染；订约；订（婚）；负（债）；结交
concept	vt. 反驳；否定；与…矛盾；与…抵触vi. 反驳；否认；发生矛盾108610921095
conception	n. 矛盾；否认；反驳
concerning	vt. 贡献，出力；投稿；捐献vi. 有助于，促成，是……的原因之一；发表意见，提议
concert	n. 贡献；捐献；投稿
concession	vt. 设计；发明；图谋vi. 谋划；设法做到
concise	n. 控制；管理；抑制；操纵装置vt. 控制；管理；抑制
conclude	adj. 有争议的；有争论的
conclusion	n. 争论；论战；辩论
concrete	n. 便利；厕所；便利的事物
condemn	adj. 方便的；近便的；实用的；&lt;废语&gt;适当的
condense	n. 大会；[法] 惯例；[计] 约定；[法] 协定；习俗
condition	adj. 符合习俗的，传统的；常见的；惯例的
conductor	n. 交谈，会话；社交；交往，交际；会谈；（人与计算机的）人机对话
confer	adv. 相反地
conference	n. 转换；变换；[金融] 兑换；改变信仰
confess	vt. 使转变；转换…；使…改变信仰vi. 转变，变换；皈依；改变信仰n. 皈依者；改变宗教信仰者n. (Convert)人名；(法)孔韦尔
confidence	vt. 传达；运输；让与
confident	vt. 证明…有罪；宣告…有罪n. 罪犯
confidential	n. 定罪；确信；证明有罪；确信，坚定的信仰
configuration	vt. 说服；使确信，使信服
confine	v. 做饭，烹调；（食物）被烧煮；（非正式）篡改，伪造；密谋；干得起劲n. 厨师n. (Cook) （美）库克（人名）
confirm	adj. 凉爽的；冷静的；出色的vt. 使…冷却；使…平静下来vi. 变凉；平息n. 凉爽；凉爽的空气adv. 冷静地n. (Cool)人名；(法)科尔；(英)库尔
conflict	vi. 合作，配合；协力
conform	adj. 合作的；合作社的n. 合作社
confront	v. 调节，配合；使动作协调；（衣服、家具等）搭配；与……形成共价键adj. 同等的，并列的；配位的；坐标的n. 坐标；配套服装；同等的人或物1098
confuse	vi. 处理；对付；竞争n. 长袍n. (Cope)人名；(英)科普；(西)科佩
confusion	n. 铜；铜币；警察adj. 铜制的vt. 镀铜n. (Copper)人名；(英)科珀
congratulate	n. 副本；一册；稿件；作业本；（报纸、杂志的）题材；广告文字
congratulation	vt. 复制；抄写；抄送；抄袭；效仿；收到，听见vi. 复制；抄写
congress	n. 绳索；束缚vt. 用绳子捆绑n. (Cord)人名；(法)科尔；(英)科德11031107
conjunction	adj. 热情友好的；由衷的；兴奋的n. 甜果汁饮料；镇定药；兴奋剂；甜香酒
connect	n. 核心；要点；果心；[计] 磁心vt. 挖...的核n. (Core)人名；(英)科尔；(西、意)科雷
connection	n. （美）玉米；（英）谷物；[皮肤] 鸡眼vt. 腌；使成颗粒n.(Corn)人名；(英、法、瑞典)科恩
conquer	n. 角落，拐角处；地区，偏僻处；困境，窘境vi. 囤积；相交成角
conquest	vt. 垄断；迫至一隅；使陷入绝境；把…难住n. (Corner)人名；(法)科尔内；(英)科纳
conscience	adj. 法人的；共同的，全体的；社团的；公司的；企业的
conscientious	n. 公司；法人（团体）；社团；市政当局
conscious	n. 军团；兵种；兵队；（德国大学的）学生联合会n. （Corps）（西、德）科尔普斯（人名）
consciousness	adj. （政治或思想）正确的；恰当的；端正的v. 改正；批改（学生作业）；校正；指出错误；抵消；校准（仪器）；修正、调整（数据）
consecutive	n. 改正，修正
consensus	vi. 关联vt. 使有相互关系；互相有关系n. 相关物；相关联的人
consent	vi. 符合，一致；相应；通信
consequence	n. 通信；一致；相当
consequent	n. 通讯记者；客户；通信者；代理商行
consequently	adj. 相当的，相应的；一致的；通信的v. 类似（correspond的ing形式）；相配
conservation	n. 走廊
conservative	vt. 侵蚀；损害vi. 受腐蚀；起腐蚀作用
conserve	adj. 腐败的，贪污的；堕落的vt. 使腐烂；使堕落，使恶化vi. 堕落，腐化；腐烂
consider	adj. 宇宙的（等于cosmical）n.成本,价钱,代价vt.价值为,(使)花费(金钱,时间,劳力等),使失去(生命,健康等),令人付出vi.花费
considerable	adj. 昂贵的；代价高的n. (Costly)人名；(英)科斯特利
considerate	n. 服装，装束；戏装，剧装vt. 给…穿上服装
consideration	n. 小屋；村舍；（农舍式的）小别墅
consist	n. 棉花；棉布；棉线vi. 一致；理解；和谐；亲近adj. 棉的；棉制的n. (Cotton)人名；(英、西、葡)科顿；(法)戈登
consistent	n. 睡椅，长沙发；床；卧榻vi. 蹲伏，埋伏；躺着vt. 使躺下；表达；弯下n. (Couch)人名；(英)库奇
consolidate	v. 咳嗽；咳出；突然发出刺耳的声音；厉声说出；供认n. 咳嗽，咳嗽声；咳嗽病n. (Cough) （美、英）考夫（人名）
conspicuous	aux. 能够， 可以；可能；差点就，本来有可能；很想v. 能（can 的过去式）
constant	n. 委员会；会议；理事会；地方议会；顾问班子n. (Council)人名；(英)康斯尔11371146
constituent	n. 法律顾问；忠告；商议；讨论；决策vt. 建议；劝告vi. 商讨；提出忠告v.数,计算,计算在内,认为,有价值n.计数,计算,注意,伯爵n.计算器,计数器,计算者,柜台,筹码adv.prep.相反地
constitution	n. 副本；配对物；极相似的人或物
constrain	n. 国家，国土；国民；乡下，农村；乡村；故乡adj. 祖国的，故乡的；地方的，乡村的；国家的；粗鲁的；乡村音乐的
construct	n. 农村，乡下；乡下的全体居民
construction	n. 郡，县
consult	n. 对；夫妇；数个vi. 结合；成婚vt. 结合；连接；连合n.(Couple)人名；(法)库普勒
consultant	n. 勇气；胆量n. (Courage)人名；(英)卡里奇；(法)库拉热
consume	n. 科目；课程；过程；进程；道路；路线，航向；一道菜vt. 追赶；跑过vi. 指引航线；快跑
consumer	n. 法院；球场；朝廷；奉承vt. 招致（失败、危险等）；向…献殷勤；设法获得vi. 求爱n. (Court)人名；(英)考特；(法)库尔
consumption	n. 礼貌；好意；恩惠adj. 殷勤的；被承认的；出于礼节的
contact	n. 堂兄弟姊妹；表兄弟姊妹n.盖子,封面,藉口vt.覆盖,铺,掩饰,保护,掩护,包括,包含,适用vi.覆盖,涂,代替
contain	n. 奶牛，母牛；母兽vt. 威胁，恐吓
container	n. 懦夫，懦弱的人adj. 胆小的，懦怯的n. (Coward)人名；(英)科沃德n.裂缝,噼啪声v.(使)破裂,裂纹,(使)爆裂adj.最好的,高明的
contaminate	n. 摇篮；发源地；发祥地；支船架vt. 抚育；把...搁在支架上；把...放在摇篮内
contemplate	n. 工艺；手艺；太空船vt. 精巧地制作n. (Craft)人名；(英、德、罗)克拉夫特
contemporary	n. 吊车，起重机；鹤vi. 伸着脖子看；迟疑，踌躇vt. 用起重机起吊；伸长脖子n. (Crane)人名；(意、葡)克拉内；(英、法、西)克兰n.碰撞,坠落,坠毁,撞击声,爆裂声v.碰撞,坠落,坠毁,(指商业公司,政府等)破产,垮台
contempt	vi. 爬行；匍匐行进vt. 爬行；缓慢地行进n. 爬行；养鱼池；匍匐而行
contend	adj. 疯狂的；狂热的，着迷的
content	n. 奶油，乳脂；精华；面霜；乳酪
contest	vt. 创造，创作；造成
context	n. 创造，创作；创作物，产物
continent	adj. 创造性的
continual	n. 动物，生物；人；创造物
continue	n. 信用，信誉；[金融] 贷款；学分；信任；声望vt. 相信，信任；把…归给，归功于；赞颂
continuous	vi. 爬行；蔓延；慢慢地移动；起鸡皮疙瘩n. 爬行；毛骨悚然的感觉；谄媚者；非玩家控制的小兵（游戏术语）
contract	n. 队，组；全体人员，全体船员vi. 一起工作vt. 使当船员n.(Crew)人名；(英、西)克鲁
contradict	n. 板球，板球运动；蟋蟀
contradiction	n. 罪行，犯罪；罪恶；犯罪活动vt. 控告……违反纪律
contrary	adj. 犯罪的；刑事的；罪过的，错误的；不道德的；令人震惊的n.罪犯
contrast	v. （使）跛；（使）残废；削弱；严重毁坏（机器）；给……造成严重问题n. 古，冒犯跛子，残废人1172
contribute	n. 危机；危险期；决定性时刻adj. 危机的；用于处理危机的
contribution	adj. 脆的；新鲜的；易碎的vt. 使卷曲；使发脆vi. 卷曲；发脆n.松脆物；油炸马铃薯片n. (Crisp)人名；(英)克里斯普
contrive	n. （批评判断的）标准；准则；规范；准据
control	n. 批评家，评论家；爱挑剔的人
controversial	adj. 鉴定的；[核] 临界的；批评的，爱挑剔的；危险的；决定性的；评论的
controversy	n. 批评；考证；苛求
convenience	vt. 批评；评论；非难vi. 批评；评论；苛求
convenient	n. 产量；农作物；庄稼；平头vt. 种植；收割；修剪；剪短vi. 收获
convention	n. 交叉，十字；十字架，十字形物vi. 交叉；杂交；横过vt. 杂交；渡过；使相交adj. 交叉的，相反的；乖戾的；生气的
conventional	n. 乌鸦；鸣叫；（非正式）丑妇；撬棍v. 打鸣；自鸣得意；欢呼
converge	n. 人群；观众；（非正式）一伙人；众多v. （一批人）（使）挤满；逼近（某人）；聚集；（想法或观点）塞满脑子；催促（因而使人生气或不快）
conversation	n. 王冠；花冠；王权；顶点vt. 加冕；居…之顶；表彰；使圆满完成
conversely	n. (Crown)人名；(英)克朗
conversion	adj. 重要的；决定性的；定局的；决断的
convey	adj. 残酷的，残忍的；使人痛苦的，让人受难的；无情的，严酷的vi.巡游,巡航n.巡游,巡航vt.压碎,碾碎,压服,压垮,粉碎,(使)变形
convict	n. 地壳；外壳；面包皮；坚硬外皮vi. 结硬皮；结成外壳vt. 盖以硬皮；在…上结硬皮vi.哭,流泪v.叫,喊n.哭泣,哭声,叫喊,喊声
conviction	n. 结晶，晶体；水晶；水晶饰品adj. 水晶的；透明的，清澈的n.(Crystal)人名；(英)克里斯特尔，克丽丝特尔 (女名)
convince	n. 立方；立方体；骰子vt. 使成立方形；使自乘二次；量…的体积n.(Cube)人名；(瑞典、德)库贝
cook	adj. 立方体的，立方的n. (Cubic)人名；(罗)库比克
cooperate	n. 提示，暗示；线索vt. 给…暗示n. (Cue)人名；(西)库埃
cooperative	vi. 到绝顶；达到高潮；达到顶点vt. 使结束；使达到高潮
cope	n. 文化，文明；修养；栽培vt. [细胞][微] 培养（等于cultivate）
copper	adj. 累积的
cord	n. 杯子；奖杯；酒杯vt. 使成杯状；为…拔火罐
cordial	n. 碗柜；食橱
core	n. 抑制；路边；勒马绳vt. 控制；勒住v.治愈,治疗n.治愈,痊愈
corn	n. 好奇，好奇心；珍品，古董，古玩
corporate	vt. 使…卷曲；使卷起来vi. 卷曲；盘绕n. 卷曲；卷发；螺旋状物n.(Curl)人名；(英)柯尔
corporation	n. 货币；通货1199121512191228
corps	adj. 现在的；流通的，通用的；最近的；草写的n. （水，气，电）流；趋势；涌流n. （Current）（英）柯伦特（人名）
correction	n. 诅咒；咒骂vt. 诅咒；咒骂vi. 诅咒；咒骂
correlate	adj. 简短而失礼的，唐突无礼的；简略的，简要的；草率的n.(Curt) （美）库尔特（人名）
correspond	n. 幕；窗帘vt. 遮蔽；装上门帘
correspondence	n. 曲线；弯曲；曲线球；曲线图表vt. 弯；使弯曲vi. 成曲形adj.弯曲的；曲线形的
correspondent	n. 垫子；起缓解作用之物；（猪等的）臀肉；银行储蓄vt. 给…安上垫子；把…安置在垫子上；缓和…的冲击
corresponding	n. 习惯，惯例；风俗；经常光顾；[总称]（经常性的）顾客adj.（衣服等）定做的，定制的
corridor	adj. 习惯的；通常的n. 习惯法汇编
corrode	n. 顾客；家伙v.切(割、削),(直线等)相交,剪,截,刺穿,刺痛,删节,开辟n.(刀、剑、鞭等的)切削,削减,删节,伤口,切口
corrupt	n. 循环；周期；自行车；整套；一段时间vt. 使循环；使轮转vi. 循环；骑自行车；轮转
cosmic	n. 圆筒；汽缸；[数] 柱面；圆柱状物
cost	adj. 愤世嫉俗的；冷嘲的
costly	adj. 日常的；每日的n. 日报；朝来夜去的女佣adv. 日常地；每日；天天n. (Daily)人名；(英)戴利
costume	n. 奶制品；乳牛；制酪场；乳品店；牛奶及乳品业adj. 乳品的；牛奶的；牛奶制的；产乳的
cottage	n. 10米（等于 decametre）；水坝；水库；（牙科手术中的）橡皮障；母畜，母兽v. 筑坝；阻止，控制n. (Dam) （美）丹（人名）
cotton	n. 损害；损毁；赔偿金vi. 损害；损毁vt. 损害，毁坏v.谴责
couch	adj. 潮湿的n. 潮湿；气馁；沼气v. （使）潮湿；（使）沮丧，抑制；灭火；限止（钢琴或其他乐器琴弦）的音；减幅
cough	n. 舞蹈；舞会；舞曲vi. 跳舞；跳跃；飘扬vt. 跳舞；使跳跃adj.舞蹈的；用于跳舞的n. (Dance)人名；(英)丹斯；(法)当斯
could	n. 危险；危险物，威胁n. (Danger)人名；(法)当热
council	adj. 危险的危险地
counsel	v. 胆敢；激（某人做某事）；（诗、文）冒险，挑战n. 挑战；激将
count	n. (Dare) （美）达雷（人名）
counter	adj. 大胆的，勇敢的n. 胆量，勇气v. 敢（dare的现在分词）n.(Daring)人名；(英、瑞典)达林n.黑暗,夜,黄昏,暗色,无知,模糊adj.黑暗的,暗的,(头发、皮肤等)黑色的,隐秘的,无知的,隐晦的,模糊的
